Field	Attribute	Description	Permissible Values	Note
type	Required	table type	sequencing_experiment	
submitter_sequencing_experiment_id	Required	Unique identifier of the sequencing experiment, assigned by the data provider.	String values that meet the regular expression ^[a-zA-Z0-9]{1}[a-zA-Z0-9\\-_\\.:']{0,98}[a-zA-Z0-9]{1}$	
program_id	Required	ARGO Program ID, the unique identifier of your program. If you have logged into the ARGO Data Platform, this is the Program ID that you see in the Program Services area.		Must be the same as what is in sample_registration table
submitter_donor_id	Required	Unique identifier of the donor, assigned by the data provider.	Values must meet the regular expression  ^[A-Za-z0-9\-\._]{1,64}	Must be the same as what is in sample_registration table
gender	Required	Description of the donor self-reported gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles.	Female Male Other	Must be the same as what is in sample_registration table
submitter_specimen_id	Required	Unique identifier of the specimen, assigned by the data provider.	Values must meet the regular expression ^[A-Za-z0-9\-\._]{1,64}	Must be the same as what is in sample_registration table
specimen_tissue_source	Required	Tissue source of the biospecimen.	Blood derived - bone marrow, Blood derived - peripheral blood, Blood derived, Bone marrow, Bone. Buccal cell,Buffy coat,Cerebellum,Cerebrospinal fluid,Endometrium,Esophagus,Intestine,Lymph node,Mononuclear cells from bone marrow,Other,Plasma,Pleural effusion,Saliva,Serum,Skin,Solid tissue,Spleen,Sputum,Stomach,Tonsil,Urine	Must be the same as what is in sample_registration table
tumour_normal_designation	Required	Description of specimens tumour/normal status for data processing.	Normal Tumour	Must be the same as what is in sample_registration table
specimen_type	Required	Description of the kind of specimen that was collected with respect to tumour/normal tissue origin.	 Cell line - derived from normal  Cell line - derived from tumour  Cell line - derived from xenograft tumour  Metastatic tumour - additional metastatic  Metastatic tumour - metastasis local to lymph node  Metastatic tumour - metastasis to distant location  Metastatic tumour  Normal - tissue adjacent to primary tumour  Normal  Primary tumour - additional new primary  Primary tumour - adjacent to normal  Primary tumour  Recurrent tumour  Xenograft - derived from primary tumour  Xenograft - derived from tumour cell line	Must be the same as what is in sample_registration table
submitter_sample_id	Required	Unique identifier of the sample, assigned by the data provider. If submitted along with BAM molecular data, must also be present in header SM, and values must meet the regular expression  ^[A-Za-z0-9\-\._]{1,64}	Must be the same as what is in sample_registration table
sample_type	Required	Description of the type of molecular sample used for testing.	Amplified DNA ctDNA Other DNA enrichments Other RNA fractions polyA+ RNA Ribo-Zero RNA Total DNA Total RNA	Must be the same as what is in sample_registration table
submitter_matched_normal_sample_id	Required	Provide the identifier of matched normal sample used for data analysis.       	 Values must meet the regular expression ^[A-Za-z0-9\-\._]{1,64} or null	Required for WGS and WXS tumour samples
read_group_count	Required	The number of read groups in the molecular files being submitted.	A minimum of 1 is required.	
platform	Required	The sequencing platform type used in data generation. Can also be specified within Bam header "PL"	CAPILLARY, LS454, ILLUMINA, SOLID, HELICOS, IONTORRENT, ONT, PACBIO, Nanopore, BGI	
experimental_strategy	Required	The primary experimental method. For sequencing data it refers to how the sequencing library was made.	WGS, WXS, RNA-Seq, Bisulfite-Seq, ChIP-Seq, Targeted-Seq	
sequencing_date	Required	Date sequencing was performed.	datetime format, for example: 2019-06-16 or 2019-06-16T20:20:39+00:00 or null	
platform_model	Required	The model number of the sequencing machine used in data generation. Can also be specified within Bam header "PM"	Any string value or null	
sequencing_center	Required	Data centre sequencing was performed. Can also be specified with Bam header "CN"	Any string value or null	
target_capture_kit	Optional	Description that can uniquely identify a target capture kit. 	xGen Exome Research Panel V1 (IDT), SeqCap EZ MedExome (Roche), SureSelect Human All Exon V6 (Agilent), Human Core Exome Kit + RefSeq V1 (Twist) null	
library_isolation_protocol	Optional	Provide the protocol used to isolate RNAs	TRIzol Reagent (Thermo Fisher), RNeasy kits (QIAGEN), RNase free DNase I (Thermo Fisher), Pico Pure RNA isolation kit (Thermo Fisher), mirVANA microRNA isolation kit (Thermo Fisher), Absolutely Total RNA, miRNA & mRNA Purification Kits (Stratagene, Agilent technologies), SV total RNA isolation kit (Promega), RNAqueous Kit (Thermo Fisher), AllPrep DNA/RNA Micro Kit (QIAGEN), GenElute Mammalian Total RNA Miniprep kit (MilliporeSigma), Spectrum Plant Total RNA kit (MilliporeSigma), peqGOLD Total RNA kits (PeqLab Biotechnologie), RNAlater (Thermo Fisher) null	
library_preparation_kit	Optional	Provide the kit being used for library construction	Ovation SoLo kit (NuGEN), SMARTer Stranded Total RNA-Seq Kit (Takara), TruSeq RNA sample preparation v2 (Illumina), SMART-Seq v4 Ultra Low Input RNA Kit (Takara), Nextera XT DNA Library Preparation Kit (Illumina), NEXTflex kit (Bioo Scientific) null	
library_strandedness	Conditional Required	Indicate the data strandedness	UNSTRANDED, FIRST_READ_SENSE_STRAND, FIRST_READ_ANTISENSE_STRAND null	Required for RNA-Seq
rin	Optional	RNA integrity number	A number between 1 to 10 or null	
dv200	Optional	The percentage of RNA fragments that are >200 nucleotides in size	A percentage or null	
spike_ins_included	Optional	Indicate if include spike ins?	true, false	
spike_ins_fasta	Optional	Name of FASTA file that contains the spike-in sequences	Any string value or null. Must match a fileName identified in the files section.	
spike_ins_concentration	Optional	Spike in concentration	String or null	
